Date,GDP,Private C,Govt C,Total C,GFCF,Civilian Emp,Exports,Imports,Net Exports,Real Exchange rate,Terms of trade
1973:1,3892.2,2530.4,2530.4,5060.8,688.1,0.671,200.32,281.51,-0.328971963,96.38244554,0.750245392
1973:2,3919,2527.5,2527.5,5055,689.8,0.679,209.04,273.75,-0.087629619,101.1599676,0.773994012
1973:3,3907.1,2539.9,2539.9,5079.8,683.2,0.683,210.28,266.2,0.229984189,104.1377395,0.763126617
1973:4,3947.1,2532.6,2532.6,5065.2,680.6,0.69,218.8,269.11,0.328143545,102.6342798,0.776093588
1974:1,3908.1,2512.7,2512.7,5025.4,666.8,0.694,226.44,260.56,0.297269271,102.2529739,0.836442893
1974:2,3922.6,2522.7,2522.7,5045.4,665.2,0.695,236.43,271.15,-0.377740304,106.4018443,0.911394923
1974:3,3880,2532.4,2532.4,5064.8,649.3,0.697,225.03,266.13,-0.601971291,104.4095639,0.907368489
1974:4,3854.1,2490.9,2490.9,4981.8,616.6,0.693,231.12,263.41,-0.142229118,104.7083871,0.891777891
1975:1,3800.9,2513.2,2513.2,5026.4,591.1,0.683,230.52,237.3,0.839582132,106.7046061,0.879213251
1975:2,3835.2,2556.3,2556.3,5112.6,577.4,0.683,220.94,218.42,1.038928527,106.9328106,0.884135881
1975:3,3907,2591.8,2591.8,5183.6,592.5,0.69,224.72,236.62,0.700018104,103.1814273,0.867310358
1975:4,3952.5,2618.7,2618.7,5237.4,607.1,0.692,236.68,249.34,0.761436186,102.6413029,0.862141006
1976:1,4044.6,2674.2,2674.2,5348.4,632.7,0.703,235.95,265.16,0.237650654,104.0546634,0.863723196
1976:2,4072.2,2697.9,2697.9,5395.8,631,0.709,238.13,276.48,-0.061182491,104.6682018,0.867781142
1976:3,4088.5,2724.4,2724.4,5448.8,634.1,0.714,244.7,287.53,-0.267701049,104.7742116,0.878676514
1976:4,4126.4,2760.8,2760.8,5521.6,656.7,0.717,247.65,296.84,-0.38823592,104.2245692,0.873478959
1977:1,4176.3,2794.3,2794.3,5588.6,681.9,0.724,243.78,310.75,-1.11662531,104.5004877,0.89395274
1977:2,4260.1,2810.3,2810.3,5620.6,715.6,0.734,250.13,313.33,-1.082240287,105.0935332,0.90569199
1977:3,4329.5,2836.9,2836.9,5673.8,719.3,0.74,252.17,309.06,-1.022683211,106.0670344,0.922328878
1977:4,4328.3,2877.6,2877.6,5755.2,726.4,0.75,243.57,313.45,-1.439635102,108.1626767,0.926934237
1978:1,4345.5,2893.1,2893.1,5786.2,727.8,0.757,249.47,334.38,-1.829864506,110.7092774,0.924850561
1978:2,4510.7,2954.6,2954.6,5909.2,787.7,0.767,275.49,335.14,-1.020363285,111.1934766,0.924766515
1978:3,4552.1,2968.2,2968.2,5936.4,807.7,0.773,278.28,340.29,-1.054029736,115.0262643,0.923375268
1978:4,4603.7,2990.6,2990.6,5981.2,823.7,0.78,289.07,344.72,-0.717782757,115.2339249,0.90950433
1979:1,4605.7,3008.1,3008.1,6016.2,817.2,0.787,288.88,344.57,-0.775005072,113.3272892,0.914377438
1979:2,4615.6,3003.5,3003.5,6007,819.4,0.786,289.67,345.74,-0.927724696,111.0411963,0.927062029
1979:3,4644.9,3028.7,3028.7,6057.4,840.7,0.794,299.75,339.97,-0.941067572,111.7568172,0.974067143
1979:4,4656.2,3040.2,3040.2,6080.4,831.6,0.798,317.82,346.87,-1.094174464,109.7012469,1.021902259
1980:1,4679,3037.2,3037.2,6074.4,828.3,0.8,327.73,347.75,-1.36649157,107.9874735,1.073685588
1980:2,4566.6,2968.8,2968.8,5937.6,758.2,0.792,333.94,322.65,-0.614106053,107.902025,1.097638659
1980:3,4562.3,2998.5,2998.5,5997,758.6,0.792,332.78,299.4,0.118560034,110.7869567,1.098505873
1980:4,4651.9,3034.2,3034.2,6068.4,786.7,0.797,331.09,315.43,-0.305652861,109.2378837,1.081826514
1981:1,4739.2,3045.6,3045.6,6091.2,794.9,0.803,336.75,328.49,-0.555884481,107.1122536,1.082361203
1981:2,4696.8,3045.8,3045.8,6091.6,790.7,0.807,338.93,329.39,-0.537406768,102.3716089,1.084536714
1981:3,4753,3058.8,3058.8,6117.6,786.9,0.805,331.35,325.85,-0.322000189,97.72623624,1.051487424
1981:4,4693.8,3035.3,3035.3,6070.6,784.9,0.802,334.05,334.95,-0.508554387,100.2506266,1.050599546
1982:1,4615.9,3054,3054,6108,757.9,0.798,320.37,325.68,-0.541118732,97.51974775,1.041579899
1982:2,4634.9,3062.1,3062.1,6124.2,740.1,0.797,322.82,320.18,-0.151627677,94.30107189,1.025038028
1982:3,4612.1,3080.1,3080.1,6160.2,720.5,0.797,308.21,334.67,-0.92970452,89.48278948,1.020952786
1982:4,4618.3,3129.7,3129.7,6259.4,728.4,0.794,294.35,321.66,-0.903276651,89.97660608,1.017963081
1983:1,4663,3156.5,3156.5,6313,738.4,0.794,298.93,328.77,-0.734900327,92.14325204,0.99223142
1983:2,4763.6,3220,3220,6440,765,0.799,299.84,354.49,-1.311541566,90.02790865,0.987066003
1983:3,4849,3267.1,3267.1,6534.2,806.5,0.814,304.25,382.23,-1.829764544,87.7346903,0.982537153
1983:4,4939.2,3318.6,3318.6,6637.2,845.3,0.82,310.24,401,-1.945642089,87.60658802,0.966070349
1984:1,5053.6,3354,3354,6708,873.3,0.831,317.48,432.96,-2.487404711,87.17382461,0.968715783
1984:2,5132.9,3397.5,3397.5,6795,909.3,0.84,325.7,451.23,-2.667732041,86.16975442,0.968361945
1984:3,5170.3,3418.4,3418.4,6836.8,923.6,0.843,331.97,462.47,-2.615290954,82.44023083,0.959278568
1984:4,5203.7,3460.6,3460.6,6921.2,942.4,0.849,338.35,476.09,-2.682212826,80.72110857,0.957080256
1985:1,5257.3,3511.2,3511.2,7022.4,952,0.854,338.68,465.98,-2.239537391,78.05791898,0.94397689
1985:2,5283.7,3540.8,3540.8,7081.6,968.5,0.854,337.35,488.96,-2.774015672,78.9577576,0.950333209
1985:3,5359.6,3602.1,3602.1,7204.2,969,0.858,332.02,484.65,-2.776330127,80.89305938,0.95540976
1985:4,5393.6,3612.1,3612.1,7224.2,979.7,0.865,341.36,501.32,-3.117634705,84.39530762,0.978895598
1986:1,5460.8,3644,3644,7288,982.9,0.871,351.34,501,-2.911752558,87.97137998,0.986325836
1986:2,5466.9,3683,3683,7366,984.9,0.874,355.89,523.01,-2.939164538,91.59186664,0.959358287
1986:3,5496.3,3742.8,3742.8,7485.6,988.8,0.881,364.14,538.08,-3.105799743,93.78223764,0.968128141
1986:4,5526.8,3764.8,3764.8,7529.6,986.6,0.885,377.45,542.33,-2.938889753,93.63588127,0.970510218
1987:1,5561.8,3765.7,3765.7,7531.4,969.2,0.89,377.67,538.83,-3.055391287,96.57481329,0.990701829
1987:2,5618,3814,3814,7628,987.6,0.897,393.48,553.68,-3.115110547,99.38052804,0.998791428
