DATE,GDP,Total C,GFCF,Civilian Emp
1973:01:00,5877.809397,4422.201077,1487.675616,0.889153291
1973:02:00,5931.415406,4451.861448,1481.068288,0.889009951
1973:03:00,5985.742131,4494.944711,1490.933104,0.891593318
1973:04:00,6040.608082,4549.579654,1501.360047,0.896438312
1974:01:00,6020.908096,4508.26908,1475.066001,0.894305855
1974:02:00,6053.328856,4558.525835,1428.296137,0.894398775
1974:03:00,6085.743806,4601.804462,1421.181606,0.891345019
1974:04:00,6022.139631,4587.170694,1404.671535,0.891351409
1975:01:00,6002.524894,4642.807678,1377.252284,0.88931095
1975:02:00,6017.849367,4691.070052,1375.439441,0.886563074
1975:03:00,6064.831518,4733.434143,1377.122142,0.884636621
1975:04:00,6145.962603,4778.995222,1395.359982,0.8849501
1976:01:00,6228.158037,4816.192537,1408.813519,0.888576876
1976:02:00,6295.95023,4859.412125,1413.235737,0.888219338
1976:03:00,6353.128789,4905.401785,1409.152704,0.894749889
1976:04:00,6426.775679,4942.316447,1416.013203,0.895742126
1977:01:00,6475.625387,4962.277994,1437.46365,0.897841586
1977:02:00,6496.435785,4996.279359,1430.406048,0.898570557
1977:03:00,6517.439825,5037.314979,1432.266534,0.898643873
1977:04:00,6599.964942,5086.869532,1451.973189,0.89982011
1978:01:00,6660.473567,5133.734398,1469.832385,0.902245393
1978:02:00,6719.725643,5174.32389,1479.595151,0.905263938
1978:03:00,6775.511963,5229.297241,1491.268096,0.905343626
1978:04:00,6859.411266,5290.073213,1504.574079,0.908702452
1979:01:00,6899.032397,5338.11219,1506.951053,0.9124897
1979:02:00,7033.327637,5435.501967,1549.741735,0.913970165
1979:03:00,7056.34928,5422.873677,1562.588025,0.918023468
1979:04:00,7118.686492,5458.161266,1581.028375,0.920496965
1980:01:00,7176.410969,5502.683408,1600.649288,0.926309993
1980:02:00,7133.862929,5478.569018,1577.529819,0.926292127
1980:03:00,7126.359237,5520.675302,1567.795299,0.927195801
1980:04:00,7130.890874,5524.679182,1563.973153,0.926561057
1981:01:00,7166.984581,5549.12554,1560.815823,0.927303504
1981:02:00,7199.362066,5542.387709,1560.558399,0.92352701
1981:03:00,7227.054134,5572.71967,1543.250216,0.923220314
1981:04:00,7234.206098,5588.355239,1515.207408,0.922058333
1982:01:00,7266.925552,5627.638729,1508.70595,0.922814847
1982:02:00,7297.591497,5627.725196,1519.755147,0.922269176
1982:03:00,7284.220786,5647.029606,1510.788449,0.919020629
1982:04:00,7299.916076,5683.058269,1510.122258,0.919757902
1983:01:00,7349.830192,5721.546518,1499.549344,0.921092076
1983:02:00,7402.294856,5739.566725,1504.110726,0.922090357
1983:03:00,7444.920812,5763.725739,1514.152835,0.923548009
1983:04:00,7509.676341,5797.548392,1522.357411,0.925184183
1984:01:00,7593.953968,5832.719958,1522.814512,0.926102253
1984:02:00,7597.115467,5848.419056,1527.358309,0.927418513
1984:03:00,7656.201803,5863.293268,1547.968181,0.929479093
1984:04:00,7701.976265,5896.743554,1558.161871,0.930965904
1985:01:00,7765.52608,5951.274465,1558.978717,0.932534949
1985:02:00,7851.067218,5994.103233,1583.685155,0.933788406
1985:03:00,7912.799375,6044.860054,1609.088993,0.936077674
1985:04:00,7983.791843,6107.531796,1620.878598,0.937113446
1986:01:00,7986.050007,6142.787428,1615.173265,0.941907687
1986:02:00,8082.997277,6223.097486,1648.559047,0.943565034
1986:03:00,8142.060581,6276.618954,1674.771402,0.945502161
1986:04:00,8196.536415,6316.066904,1697.191723,0.948096864
1987:01:00,8192.247307,6352.89529,1676.55943,0.94977009
1987:02:00,8306.799678,6426.575038,1745.901431,0.953818341
1987:03:00,8405.323858,6486.814152,1794.700323,0.958090224
1987:04:00,8524.672017,6561.66885,1840.729174,0.962195876
1988:01:00,8619.831498,6611.025229,1875.761609,0.96636387
1988:02:00,8688.866919,6670.236547,1911.051274,0.97134671
1988:03:00,8799.128213,6742.609987,1954.512004,0.975784699
1988:04:00,8892.066048,6796.314537,1981.832202,0.977742837
1989:01:00,8987.158656,6854.15098,2046.990574,0.982493106
1989:02:00,9022.217433,6875.475689,2036.611228,0.987189459
1989:03:00,9102.863206,6932.582308,2081.83425,0.993365655
1989:04:00,9201.328386,7000.532076,2123.610129,0.997104677
1990:01:00,9325.790106,7077.250662,2166.344902,1.002396083
1990:02:00,9384.915218,7118.94683,2177.396129,1.004941069
1990:03:00,9408.548371,7135.492156,2184.495479,1.007181858
1990:04:00,9434.622844,7156.838633,2193.487597,1.009887594
1991:01:00,9507.359659,7217.023055,2224.360672,1.01415731
1991:02:00,9535.313807,7272.052728,2218.785265,1.013300325
1991:03:00,9556.796217,7292.554053,2214.12354,1.012491544
1991:04:00,9614.597369,7351.521742,2224.692789,1.011946305
1992:01:00,9680.925393,7393.171478,2235.221016,1.009482828
1992:02:00,9652.139008,7404.647221,2218.084881,1.007442654
1992:03:00,9638.590521,7414.28579,2189.386652,1.00349388
1992:04:00,9627.673658,7447.669948,2152.252961,0.999878381
1993:01:00,9587.558439,7408.904164,2118.404128,0.995829121
1993:02:00,9611.489818,7426.614761,2084.330073,0.993821828
1993:03:00,9649.431852,7463.147138,2094.953615,0.992420317
1993:04:00,9691.222085,7499.741346,2083.369187,0.993490584
1994:01:00,9745.185695,7523.317027,2107.041604,0.992419416
1994:02:00,9840.733902,7554.909696,2126.369501,0.994309567
1994:03:00,9928.704516,7595.440304,2143.876713,0.994224589
1994:04:00,9982.350021,7626.839531,2155.441873,0.996193408
1995:01:00,10015.49554,7621.269822,2154.279475,0.998160728
1995:02:00,10083.36353,7707.185096,2178.026193,0.998605961
1995:03:00,10125.57706,7735.769947,2200.403961,1.001647673
1995:04:00,10161.61757,7763.375073,2220.182447,1.001721932
1996:01:00,10269.56654,7825.994624,2255.819381,1.003133455
1996:02:00,10313.85828,7835.976688,2307.343741,1.005339888
1996:03:00,10373.18717,7862.561707,2310.913065,1.007597502
1996:04:00,10444.18,7907.534741,2328.409094,1.008499159
1997:01:00,10514.48064,7982.534277,2323.862537,1.011764847
1997:02:00,10551.87177,7946.826613,2336.689506,1.015223219
1997:03:00,10643.85468,7994.292917,2349.370112,1.015642697
1997:04:00,10682.17746,8017.492294,2363.629029,1.018082335
1998:01:00,10701.23407,8077.778479,2361.051057,1.021226346
1998:02:00,10724.20579,8109.776518,2330.369616,1.020923975
1998:03:00,10763.02151,8138.012415,2348.578932,1.021632337
1998:04:00,10767.81191,8153.805629,2353.086899,1.025458335
